阶次,计算幅值 (μm),目标幅值 (μm),差异 (μm),最佳评价范围,最佳评价方法,是否符合
261,0.140089,0.14,0.000089,20-170,none,✅
87,0.140119,0.14,0.000119,20-170,none,✅
174,0.050561,0.05,0.000561,180-360,quadratic,✅
435,0.040236,0.04,0.000236,230-480,none,✅
86,0.030091,0.03,0.000091,260-460,none,✅
