配置,方向,阶次,我们的振幅,Klingelnberg振幅,误差(%),预处理方法,预处理阶数,迭代次数
linear_only,right_profile,87,0.2894,0.1500,92.9,linear,1,10
linear_only,right_profile,174,0.2459,0.0500,391.7,linear,1,10
linear_only,right_profile,261,0.1921,0.0600,220.1,linear,1,10
linear_only,right_profile,348,0.1333,0.0700,90.4,linear,1,10
linear_only,right_profile,435,0.0798,0.0300,166.1,linear,1,10
linear_only,left_helix,87,0.4907,0.1200,308.9,linear,1,10
linear_only,left_helix,89,0.0000,0.0700,100.0,linear,1,10
linear_only,left_helix,174,0.3425,0.0600,470.9,linear,1,10
linear_only,left_helix,261,0.3267,0.0500,553.4,linear,1,10
linear_only,left_helix,348,0.0000,0.0300,100.0,linear,1,10
linear_only,right_helix,87,0.6006,0.0900,567.3,linear,1,10
linear_only,right_helix,174,0.3469,0.1000,246.9,linear,1,10
linear_only,right_helix,261,0.2526,0.0500,405.3,linear,1,10
linear_only,right_helix,348,0.0000,0.0400,100.0,linear,1,10
linear_only,right_helix,435,0.0000,0.0300,100.0,linear,1,10
poly_order_2_15cycles,left_profile,87,0.1458,0.1400,4.1,poly,2,15
poly_order_2_15cycles,left_profile,174,0.0825,0.0500,65.0,poly,2,15
poly_order_2_15cycles,left_profile,261,0.0331,0.0600,44.9,poly,2,15
poly_order_2_15cycles,left_profile,348,0.0257,0.0300,14.3,poly,2,15
poly_order_2_15cycles,left_profile,435,0.0499,0.0400,24.8,poly,2,15
poly_order_2_15cycles,right_profile,87,0.1318,0.1500,12.1,poly,2,15
poly_order_2_15cycles,right_profile,174,0.0782,0.0500,56.5,poly,2,15
poly_order_2_15cycles,right_profile,261,0.0283,0.0600,52.8,poly,2,15
poly_order_2_15cycles,right_profile,348,0.0285,0.0700,59.3,poly,2,15
poly_order_2_15cycles,right_profile,435,0.0561,0.0300,87.1,poly,2,15
poly_order_2_15cycles,left_helix,87,0.1889,0.1200,57.4,poly,2,15
poly_order_2_15cycles,left_helix,89,0.0871,0.0700,24.4,poly,2,15
poly_order_2_15cycles,left_helix,174,0.0486,0.0600,19.0,poly,2,15
poly_order_2_15cycles,left_helix,261,0.0000,0.0500,100.0,poly,2,15
poly_order_2_15cycles,left_helix,348,0.0000,0.0300,100.0,poly,2,15
poly_order_2_15cycles,right_helix,87,0.0852,0.0900,5.4,poly,2,15
poly_order_2_15cycles,right_helix,174,0.1022,0.1000,2.2,poly,2,15
poly_order_2_15cycles,right_helix,261,0.0891,0.0500,78.2,poly,2,15
poly_order_2_15cycles,right_helix,348,0.0000,0.0400,100.0,poly,2,15
poly_order_2_15cycles,right_helix,435,0.0000,0.0300,100.0,poly,2,15
poly_order_2_20cycles,left_profile,87,0.1458,0.1400,4.1,poly,2,20
poly_order_2_20cycles,left_profile,174,0.0825,0.0500,65.0,poly,2,20
poly_order_2_20cycles,left_profile,261,0.0331,0.0600,44.9,poly,2,20
poly_order_2_20cycles,left_profile,348,0.0257,0.0300,14.3,poly,2,20
poly_order_2_20cycles,left_profile,435,0.0499,0.0400,24.8,poly,2,20
poly_order_2_20cycles,right_profile,87,0.1318,0.1500,12.1,poly,2,20
poly_order_2_20cycles,right_profile,174,0.0782,0.0500,56.5,poly,2,20
poly_order_2_20cycles,right_profile,261,0.0283,0.0600,52.8,poly,2,20
poly_order_2_20cycles,right_profile,348,0.0285,0.0700,59.3,poly,2,20
poly_order_2_20cycles,right_profile,435,0.0561,0.0300,87.1,poly,2,20
poly_order_2_20cycles,left_helix,87,0.1889,0.1200,57.4,poly,2,20
poly_order_2_20cycles,left_helix,89,0.0871,0.0700,24.4,poly,2,20
poly_order_2_20cycles,left_helix,174,0.0486,0.0600,19.0,poly,2,20
poly_order_2_20cycles,left_helix,261,0.0000,0.0500,100.0,poly,2,20
poly_order_2_20cycles,left_helix,348,0.0000,0.0300,100.0,poly,2,20
poly_order_2_20cycles,right_helix,87,0.0852,0.0900,5.4,poly,2,20
poly_order_2_20cycles,right_helix,174,0.1022,0.1000,2.2,poly,2,20
poly_order_2_20cycles,right_helix,261,0.0891,0.0500,78.2,poly,2,20
poly_order_2_20cycles,right_helix,348,0.0000,0.0400,100.0,poly,2,20
poly_order_2_20cycles,right_helix,435,0.0000,0.0300,100.0,poly,2,20
