阶次,计算幅值 (μm),目标幅值 (μm),差异 (μm),最佳评价范围,最佳评价方法,是否符合
261,0.142765,0.14,0.002765,160-410,none,✅
87,0.137891,0.14,0.002109,330-430,none,✅
174,0.049855,0.05,0.000145,20-120,none,✅
435,0.039979,0.04,0.000021,240-390,quadratic,✅
86,0.030092,0.03,0.000092,260-480,none,✅
