阶次,幅值 (μm)
70,183.56082555157604
68,183.46349063424168
72,180.10959804153498
74,178.07184103134705
76,173.0820204322604
87,169.46540056356662
174,108.69738198961035
261,56.724603208203284
348,30.27645187555374
435,25.22012087481705
