阶次,计算幅值 (μm),目标幅值 (μm),差异 (μm),最佳评价范围,最佳评价方法,是否符合
261,0.141962,0.14,0.001962,280-380,none,✅
87,0.140362,0.14,0.000362,360-460,none,✅
174,0.050058,0.05,0.000058,130-230,linear,✅
435,0.040210,0.04,0.000210,0-180,quadratic,✅
86,0.029772,0.03,0.000228,190-340,linear,✅
