配置,方向,阶次,我们的振幅,Klingelnberg振幅,误差(%),迭代次数
15次迭代, 80-440阶次,left_helix,87,0.2047,0.1200,70.6,15
15次迭代, 80-440阶次,left_helix,89,0.1005,0.0700,43.5,15
15次迭代, 80-440阶次,left_helix,174,0.0573,0.0600,4.5,15
15次迭代, 80-440阶次,left_helix,261,0.0000,0.0500,100.0,15
15次迭代, 80-440阶次,left_helix,348,0.0000,0.0300,100.0,15
15次迭代, 80-440阶次,right_helix,87,0.1037,0.0900,15.2,15
15次迭代, 80-440阶次,right_helix,174,0.1128,0.1000,12.8,15
15次迭代, 80-440阶次,right_helix,261,0.0951,0.0500,90.1,15
15次迭代, 80-440阶次,right_helix,348,0.0269,0.0400,32.7,15
15次迭代, 80-440阶次,right_helix,435,0.0000,0.0300,100.0,15
